ZIP_CODE	TERRITORY_ID	TERRITORY_NAME	CITY	STATE	REGION_ID	REGION_NAME
00603	99999	UNASSIGNED	AGUADILLA	PR	9000	UNASSIGNED
00604	99999	UNASSIGNED	AGUADILLA	PR	9000	UNASSIGNED
00605	99999	UNASSIGNED	AGUADILLA	PR	9000	UNASSIGNED
00606	99999	UNASSIGNED	MARICAO	PR	9000	UNASSIGNED
00610	99999	UNASSIGNED	ANASCO	PR	9000	UNASSIGNED
00611	99999	UNASSIGNED	ANGELES	PR	9000	UNASSIGNED
00612	99999	UNASSIGNED	ARECIBO	PR	9000	UNASSIGNED
00613	99999	UNASSIGNED	ARECIBO	PR	9000	UNASSIGNED
00614	99999	UNASSIGNED	ARECIBO	PR	9000	UNASSIGNED
00616	99999	UNASSIGNED	BAJADERO	PR	9000	UNASSIGNED
00617	99999	UNASSIGNED	BARCELONETA	PR	9000	UNASSIGNED
00622	99999	UNASSIGNED	BOQUERON	PR	9000	UNASSIGNED
00623	99999	UNASSIGNED	CABO ROJO	PR	9000	UNASSIGNED
00624	99999	UNASSIGNED	PENUELAS	PR	9000	UNASSIGNED
00627	99999	UNASSIGNED	CAMUY	PR	9000	UNASSIGNED
00631	99999	UNASSIGNED	CASTANER	PR	9000	UNASSIGNED
00636	99999	UNASSIGNED	ROSARIO	PR	9000	UNASSIGNED
00637	99999	UNASSIGNED	SABANA GRANDE	PR	9000	UNASSIGNED
00638	99999	UNASSIGNED	CIALES	PR	9000	UNASSIGNED
00641	99999	UNASSIGNED	UTUADO	PR	9000	UNASSIGNED
00646	99999	UNASSIGNED	DORADO	PR	9000	UNASSIGNED
00647	99999	UNASSIGNED	ENSENADA	PR	9000	UNASSIGNED
00650	99999	UNASSIGNED	FLORIDA	PR	9000	UNASSIGNED
00652	99999	UNASSIGNED	GARROCHALES	PR	9000	UNASSIGNED
00653	99999	UNASSIGNED	GUANICA	PR	9000	UNASSIGNED
00656	99999	UNASSIGNED	GUAYANILLA	PR	9000	UNASSIGNED
00659	99999	UNASSIGNED	HATILLO	PR	9000	UNASSIGNED
00660	99999	UNASSIGNED	HORMIGUEROS	PR	9000	UNASSIGNED
00662	99999	UNASSIGNED	ISABELA	PR	9000	UNASSIGNED
00664	99999	UNASSIGNED	JAYUYA	PR	9000	UNASSIGNED
00667	99999	UNASSIGNED	LAJAS	PR	9000	UNASSIGNED
00669	99999	UNASSIGNED	LARES	PR	9000	UNASSIGNED
00670	99999	UNASSIGNED	LAS MARIAS	PR	9000	UNASSIGNED
00674	99999	UNASSIGNED	MANATI	PR	9000	UNASSIGNED
00676	99999	UNASSIGNED	MOCA	PR	9000	UNASSIGNED
00677	99999	UNASSIGNED	RINCON	PR	9000	UNASSIGNED
00678	99999	UNASSIGNED	QUEBRADILLAS	PR	9000	UNASSIGNED
00680	99999	UNASSIGNED	MAYAGUEZ	PR	9000	UNASSIGNED
00681	99999	UNASSIGNED	MAYAGUEZ	PR	9000	UNASSIGNED
00682	99999	UNASSIGNED	MAYAGUEZ	PR	9000	UNASSIGNED
00683	99999	UNASSIGNED	SAN GERMAN	PR	9000	UNASSIGNED
00685	99999	UNASSIGNED	SAN SEBASTIAN	PR	9000	UNASSIGNED
00687	99999	UNASSIGNED	MOROVIS	PR	9000	UNASSIGNED
00688	99999	UNASSIGNED	SABANA HOYOS	PR	9000	UNASSIGNED
00690	99999	UNASSIGNED	SAN ANTONIO	PR	9000	UNASSIGNED
00692	99999	UNASSIGNED	VEGA ALTA	PR	9000	UNASSIGNED
